visitorid,first_activity,last_activity,total_events,unique_items,unique_categories,count_views,count_addtocart,count_transaction,session_duration_seconds,events_per_second,addtocart_ratio,purchase_ratio,view_to_purchase_ratio,anomaly_score,is_abnormal
155,2015-08-13 04:11:43.687,2015-09-12 04:38:00.026,14,13,4,7,7,0,2593576.339,5.397951773957789e-06,1.0,0.0,0.0,-1,1
172,2015-07-14 03:31:16.639,2015-08-15 01:29:01.686,38,22,2,33,3,2,2757465.047,1.3780773047818801e-05,0.09090909090909091,0.6666666666666666,0.06060606060606061,-1,1
186,2015-08-12 16:28:16.523,2015-08-12 22:59:32.345,4,1,1,2,1,1,23475.822,0.00017038806990443188,0.5,1.0,0.5,-1,1
264,2015-09-07 17:09:12.830,2015-09-07 17:34:45.708,7,2,1,3,2,2,1532.878,0.0045665734650768034,0.6666666666666666,1.0,0.6666666666666666,-1,1
302,2015-05-05 23:00:02.934,2015-05-05 23:00:50.661,2,1,1,1,1,0,47.727,0.041905001361912546,1.0,0.0,0.0,-1,1
420,2015-06-23 04:41:14.441,2015-06-23 05:04:42.634,14,8,1,6,8,0,1408.193,0.009941819054632426,1.3333333333333333,0.0,0.0,-1,1
588,2015-07-06 05:21:38.806,2015-07-06 05:24:18.111,2,1,1,1,1,0,159.305,0.012554533756002635,1.0,0.0,0.0,-1,1
904,2015-05-19 15:13:01.516,2015-05-19 15:13:02.127,2,1,1,1,1,0,0.611,3.2733224222585924,1.0,0.0,0.0,-1,1
914,2015-08-18 00:45:46.774,2015-08-18 00:50:47.831,3,1,1,1,1,1,301.057,0.009964890369597783,1.0,1.0,1.0,-1,1
1399,2015-05-10 22:07:31.393,2015-05-10 22:07:31.708,2,1,1,0,2,0,0.315,6.349206349206349,0.0,0.0,0.0,-1,1
1634,2015-08-11 13:40:42.928,2015-08-11 13:44:09.735,13,4,2,7,6,0,206.807,0.06286054147103338,0.8571428571428571,0.0,0.0,-1,1
1658,2015-08-03 19:03:42.542,2015-08-03 19:04:03.419,2,1,1,1,1,0,20.877,0.09579920486659961,1.0,0.0,0.0,-1,1
1732,2015-07-23 04:37:18.206,2015-07-23 04:39:26.975,2,1,1,1,1,0,128.769,0.015531688527518269,1.0,0.0,0.0,-1,1
2090,2015-08-24 14:30:04.150,2015-08-24 14:30:26.609,2,1,1,1,1,0,22.459,0.08905115989135759,1.0,0.0,0.0,-1,1
2133,2015-05-18 23:00:34.714,2015-05-18 23:04:14.925,3,1,1,1,1,1,220.211,0.013623297655430473,1.0,1.0,1.0,-1,1
2468,2015-05-05 02:29:02.038,2015-05-05 02:31:18.378,4,1,1,2,1,1,136.34,0.029338418659234266,0.5,1.0,0.5,-1,1
2572,2015-09-14 20:24:59.614,2015-09-14 20:26:36.759,4,2,2,2,2,0,97.145,0.041175562303772714,1.0,0.0,0.0,-1,1
2598,2015-07-12 20:27:49.353,2015-07-12 20:36:24.183,5,2,1,2,2,1,514.83,0.009711943748421808,1.0,0.5,0.5,-1,1
2603,2015-06-17 19:03:50.855,2015-06-17 19:05:40.497,4,4,3,2,2,0,109.642,0.036482369894748366,1.0,0.0,0.0,-1,1
2623,2015-08-16 20:43:00.430,2015-08-16 20:43:29.495,2,1,1,1,1,0,29.065,0.06881128505074832,1.0,0.0,0.0,-1,1
2799,2015-08-20 19:35:35.363,2015-08-20 19:36:03.976,11,11,1,11,0,0,28.613,0.3844406388704435,0.0,0.0,0.0,-1,1
2943,2015-07-09 12:28:44.589,2015-07-09 12:29:25.699,2,1,1,1,1,0,41.11,0.048649963512527365,1.0,0.0,0.0,-1,1
2947,2015-08-08 02:41:55.765,2015-08-08 02:41:55.983,2,1,1,2,0,0,0.218,9.174311926605505,0.0,0.0,0.0,-1,1
3050,2015-06-22 18:13:39.674,2015-06-22 18:16:35.586,2,1,1,1,1,0,175.912,0.011369321024148437,1.0,0.0,0.0,-1,1
3171,2015-08-10 23:00:20.618,2015-08-10 23:07:11.824,4,1,1,2,1,1,411.206,0.009727484521140256,0.5,1.0,0.5,-1,1
3201,2015-07-22 04:02:45.811,2015-07-22 04:02:46.143,2,1,1,2,0,0,0.332,6.024096385542168,0.0,0.0,0.0,-1,1
3251,2015-07-23 17:07:40.595,2015-07-23 17:18:55.289,3,1,1,1,1,1,674.694,0.00444646017305623,1.0,1.0,1.0,-1,1
3258,2015-06-22 18:51:06.544,2015-06-23 13:52:44.357,26,8,2,18,6,2,68497.813,0.00037957416246267605,0.3333333333333333,0.3333333333333333,0.1111111111111111,-1,1
3429,2015-08-05 21:51:22.324,2015-08-05 21:52:12.874,3,2,1,1,2,0,50.55,0.05934718100890208,2.0,0.0,0.0,-1,1
3465,2015-06-16 01:30:34.450,2015-06-16 01:37:44.698,8,3,3,2,3,3,430.248,0.018593927223368847,1.5,1.0,1.5,-1,1
3581,2015-09-12 15:47:56.549,2015-09-12 15:52:03.844,3,1,1,1,1,1,247.295,0.012131260235750825,1.0,1.0,1.0,-1,1
3896,2015-06-30 19:45:45.334,2015-06-30 19:58:23.928,3,1,1,1,1,1,758.594,0.0039546845875395795,1.0,1.0,1.0,-1,1
3926,2015-06-02 19:44:15.832,2015-08-18 20:41:30.407,13,5,2,8,2,3,6656234.575,1.953056169148005e-06,0.25,1.5,0.375,-1,1
3936,2015-08-22 05:16:03.903,2015-08-24 02:59:31.282,17,9,3,14,2,1,164607.379,0.00010327605058337027,0.14285714285714285,0.5,0.07142857142857142,-1,1
4061,2015-05-16 18:34:13.047,2015-05-16 19:54:44.891,4,1,1,2,1,1,4831.844,0.0008278412962007879,0.5,1.0,0.5,-1,1
4101,2015-05-21 00:11:18.986,2015-05-21 01:18:37.985,26,14,6,18,4,4,4038.999,0.0064372385336069655,0.2222222222222222,1.0,0.2222222222222222,-1,1
4115,2015-06-27 19:06:38.644,2015-06-27 19:32:36.446,8,3,1,4,3,1,1557.802,0.005135440832660377,0.75,0.3333333333333333,0.25,-1,1
4241,2015-06-11 17:51:46.740,2015-06-11 17:52:57.660,3,1,1,1,1,1,70.92,0.04230118443316413,1.0,1.0,1.0,-1,1
